Date,Min Temp [°C],Max Temp [°C],Mean Temp [°C],Precipitation [l/m2],Sunshine [h],Snow Depth [cm],Max Wind Gust [km/h]
2024-02-21,1.9,9.7,6.1,2.0,5.1,0.0,31.0
2024-02-22,6.4,8.8,7.7,12.4,0.0,0.0,62.0
2024-02-23,-2.5,6.8,2.6,0.0,0.1,0.0,50.0
2024-02-24,-3.4,8.2,2.0,0.0,6.5,0.0,40.0
2024-02-25,-2.7,9.8,3.4,0.0,8.8,0.0,26.0
2024-02-26,2.0,8.8,5.1,0.0,0.4,0.0,33.0
2024-02-27,3.4,9.0,5.7,0.0,0.8,0.0,30.0
2024-02-28,0.7,6.4,4.3,0.0,0.2,0.0,24.0
2024-02-29,-0.7,7.2,3.2,0.0,1.2,0.0,18.0
2024-03-01,-1.7,7.2,3.7,1.6,0.1,0.0,21.0
2024-03-02,2.9,11.6,6.0,0.0,5.8,0.0,32.0
2024-03-03,2.3,12.4,5.7,0.0,5.6,0.0,20.0
2024-03-04,2.3,7.8,5.8,0.0,0.0,0.0,26.0
2024-03-05,2.9,7.7,5.2,6.0,0.1,0.0,23.0
2024-03-06,2.6,5.5,4.2,8.3,0.0,0.0,30.0
2024-03-07,-0.1,4.7,2.3,0.0,0.0,0.0,31.0
2024-03-08,-1.2,7.7,1.8,0.0,4.4,0.0,33.0
2024-03-09,-1.9,11.7,4.8,0.0,8.6,0.0,24.0
2024-03-10,1.1,10.1,5.7,1.1,0.7,0.0,36.0
2024-03-11,1.2,12.7,5.8,0.0,8.2,0.0,31.0
2024-03-12,1.6,8.2,5.0,7.9,1.0,0.0,32.0
2024-03-13,2.3,10.1,6.3,2.2,0.0,0.0,22.0
2024-03-14,5.1,14.5,8.8,0.0,7.3,0.0,22.0
2024-03-15,5.6,15.7,10.7,0.3,6.6,0.0,43.0
2024-03-16,2.8,11.5,8.3,2.2,4.3,0.0,43.0
2024-03-17,2.2,12.4,7.8,0.1,2.0,0.0,24.0
2024-03-18,5.5,10.1,8.0,2.9,0.2,0.0,20.0
2024-03-19,2.8,13.7,7.9,0.0,3.0,0.0,15.0
2024-03-20,0.4,16.1,8.4,0.0,11.2,0.0,18.0
2024-03-21,2.7,15.2,8.8,2.1,4.1,0.0,37.0
2024-03-22,1.5,17.6,10.0,0.0,9.7,0.0,31.0
2024-03-23,1.9,10.4,6.3,3.1,4.8,0.0,66.0
2024-03-24,1.3,5.9,2.8,1.6,3.4,0.0,60.0
2024-03-25,0.3,9.8,4.4,0.0,10.7,0.0,28.0
2024-03-26,-1.7,13.5,5.7,0.0,8.6,0.0,24.0
2024-03-27,2.0,16.1,6.7,6.7,5.4,0.0,49.0
2024-03-28,-0.2,9.9,4.7,1.4,3.8,0.0,52.0
2024-03-29,-0.1,15.3,7.9,0.0,4.5,0.0,30.0
2024-03-30,6.8,19.4,13.8,0.0,3.3,0.0,42.0
2024-03-31,3.3,18.6,10.9,0.0,5.8,0.0,40.0
2024-04-01,4.4,10.2,8.4,4.0,0.8,0.0,55.0
2024-04-02,2.1,12.4,7.6,0.5,6.7,0.0,50.0
2024-04-03,1.1,13.0,7.0,2.1,0.7,0.0,51.0
2024-04-04,7.6,14.2,10.4,5.5,1.7,0.0,39.0
2024-04-05,8.0,20.9,14.8,0.0,6.3,0.0,44.0
2024-04-06,7.6,25.0,16.1,0.0,11.1,0.0,40.0
2024-04-07,9.1,23.0,17.0,0.0,6.6,0.0,26.0
2024-04-08,8.9,27.1,18.1,0.0,8.2,0.0,22.0
2024-04-09,5.1,18.2,10.6,0.5,1.1,0.0,50.0
2024-04-10,1.6,12.2,6.8,0.0,3.7,0.0,21.0
2024-04-11,-0.5,15.6,8.0,0.0,11.1,0.0,28.0
2024-04-12,1.3,20.6,11.3,0.0,12.7,0.0,20.0
2024-04-13,4.2,23.6,14.7,0.0,12.1,0.0,26.0
2024-04-14,8.3,24.9,16.2,0.4,10.9,0.0,40.0
2024-04-15,2.2,16.2,11.7,2.6,3.0,0.0,62.0
2024-04-16,2.3,9.9,5.6,4.2,5.7,0.0,72.0
2023-12-27,1.1,8.2,4.8,0.0,5.1,0.0,31.0
2023-12-28,1.1,6.7,4.7,1.1,0.3,0.0,33.0
2023-12-29,2.9,8.6,6.4,0.0,2.3,0.0,37.0
2023-12-30,0.0,10.3,6.1,0.0,5.8,0.0,38.0
2023-12-31,-2.2,9.0,2.2,0.0,0.9,0.0,47.0
2024-01-01,2.1,6.1,3.7,0.0,3.5,0.0,42.0
2024-01-02,3.2,7.9,5.8,3.2,0.0,0.0,62.0
2024-01-03,5.9,9.7,7.5,5.0,1.9,0.0,72.0
2024-01-04,0.3,7.7,5.6,0.0,2.8,0.0,58.0
2024-01-05,-0.1,5.6,3.4,0.9,0.0,0.0,22.0
2024-01-06,1.6,4.2,2.7,2.5,0.0,0.0,22.0
2024-01-07,-4.9,1.7,-0.5,1.0,0.0,0.0,36.0
2024-01-08,-6.2,-3.8,-4.8,0.0,0.0,1.0,38.0
2024-01-09,-9.5,-4.7,-7.0,0.0,5.7,1.0,41.0
2024-01-10,-9.3,-1.9,-6.0,0.0,3.2,1.0,13.0
2024-01-11,-9.6,-1.7,-6.5,0.0,6.0,1.0,19.0
2024-01-12,-10.7,-1.1,-6.8,0.0,7.4,1.0,13.0
2024-01-13,-8.3,-4.8,-6.4,0.0,0.0,1.0,23.0
2024-01-14,-9.7,-1.8,-5.6,0.0,6.1,1.0,43.0
2024-01-15,-3.4,0.5,-1.9,1.5,0.4,1.0,48.0
2024-01-16,-11.0,-0.8,-5.1,1.2,4.4,5.0,30.0
2024-01-17,-8.1,7.4,0.9,8.0,0.0,5.0,52.0
2024-01-18,-2.4,9.5,3.2,0.5,1.1,0.0,51.0
2024-01-19,-8.3,-0.3,-3.5,0.0,5.6,0.0,22.0
2024-01-20,-8.4,-0.9,-5.6,0.0,5.5,0.0,13.0
2024-01-21,-10.5,1.7,-3.7,0.0,5.2,0.0,32.0
2024-01-22,-1.6,8.0,3.1,6.4,0.1,0.0,47.0
2024-01-23,1.9,6.4,4.3,3.3,2.7,0.0,54.0
2024-01-24,5.2,12.2,8.5,2.1,0.1,0.0,58.0
2024-01-25,3.8,9.2,6.7,0.3,6.5,0.0,33.0
2024-01-26,0.6,9.1,6.5,2.7,0.1,0.0,45.0
2024-01-27,-3.5,5.5,0.8,0.0,8.1,0.0,18.0
2024-01-28,-5.0,2.7,-2.0,0.0,2.6,0.0,10.0
2024-01-29,-5.2,9.1,0.9,0.0,8.4,0.0,13.0
2024-01-30,-2.4,8.4,2.7,0.0,3.6,0.0,23.0
2024-01-31,0.1,9.5,4.4,0.0,0.2,0.0,24.0
2024-02-01,2.4,7.4,5.3,2.9,0.0,0.0,27.0
2024-02-02,2.4,8.4,4.9,0.0,3.0,0.0,34.0
2024-02-03,1.7,11.2,6.5,0.0,8.7,0.0,37.0
2024-02-04,3.3,10.1,6.5,0.0,2.4,0.0,36.0
2024-02-05,4.1,10.7,6.2,0.0,7.5,0.0,45.0
2024-02-06,0.2,8.1,4.4,0.0,4.6,0.0,42.0
2024-02-07,2.5,7.8,5.3,3.0,0.2,0.0,51.0
2024-02-08,5.7,10.5,7.8,7.3,0.4,0.0,46.0
2024-02-09,6.4,10.7,8.5,1.5,0.0,0.0,51.0
2024-02-10,3.9,9.6,6.4,4.5,1.6,0.0,22.0
2024-02-11,3.3,7.6,5.5,1.0,0.1,0.0,41.0
2024-02-12,2.9,7.8,5.3,0.1,1.0,0.0,32.0
2024-02-13,-1.7,9.1,4.0,0.3,5.3,0.0,27.0
2024-02-14,-2.6,11.3,6.3,0.0,2.4,0.0,30.0
2024-02-15,2.9,13.5,7.8,0.0,6.4,0.0,17.0
2024-02-16,3.1,16.1,9.7,0.2,3.2,0.0,25.0
2024-02-17,1.2,11.5,8.2,0.0,3.8,0.0,29.0
2024-02-18,-1.8,11.1,5.4,5.5,5.8,0.0,27.0
2024-02-19,5.4,8.1,6.9,2.2,0.0,0.0,40.0
2024-02-20,1.0,8.4,5.1,0.0,2.3,0.0,32.0
2023-11-01,4.4,12.7,8.7,0.0,5.6,0.0,24.0
2023-11-02,2.0,8.0,5.9,5.0,0.0,0.0,35.0
2023-11-03,1.0,7.0,4.5,0.0,0.0,0.0,28.0
2023-11-04,1.5,8.4,5.5,1.7,3.8,0.0,53.0
2023-11-05,3.9,10.0,7.5,5.8,2.0,0.0,63.0
2023-11-06,4.5,11.9,7.7,2.3,3.2,0.0,47.0
2023-11-07,3.1,10.2,5.5,1.1,4.8,0.0,40.0
2023-11-08,-1.2,9.4,4.6,0.0,4.6,0.0,28.0
2023-11-09,-1.4,10.1,4.7,0.8,0.3,0.0,49.0
2023-11-10,3.7,8.4,5.5,2.5,2.5,0.0,39.0
2023-11-11,1.4,7.0,4.1,0.3,3.9,0.0,45.0
2023-11-12,-1.9,4.6,1.1,16.9,0.0,0.0,24.0
2023-11-13,2.5,12.6,9.5,16.0,0.0,0.0,53.0
2023-11-14,6.9,11.1,8.6,5.7,0.0,0.0,57.0
2023-11-15,3.6,10.3,7.8,0.9,3.1,0.0,50.0
2023-11-16,3.4,6.4,4.8,28.0,0.0,0.0,28.0
2023-11-17,1.2,4.8,3.3,0.0,0.0,0.0,37.0
2023-11-18,-0.6,5.0,3.1,9.8,0.9,0.0,31.0
2023-11-19,4.9,12.6,8.7,0.4,2.6,0.0,32.0
2023-11-20,4.7,11.0,7.8,0.6,4.3,0.0,42.0
2023-11-21,4.9,9.2,6.1,1.5,2.1,0.0,24.0
2023-11-22,-0.5,5.2,1.1,0.0,0.0,0.0,32.0
2023-11-23,-1.8,6.3,2.4,0.9,5.1,0.0,37.0
2023-11-24,0.0,5.7,3.2,7.4,0.5,0.0,64.0
2023-11-25,-1.4,1.5,0.3,3.0,1.5,2.0,52.0
2023-11-26,-1.9,2.4,0.5,1.4,2.8,4.0,36.0
2023-11-27,-1.2,1.5,0.2,6.2,0.8,5.0,35.0
2023-11-28,-4.8,2.3,-0.2,1.2,0.0,4.0,45.0
2023-11-29,-5.8,1.5,-1.8,0.0,2.0,4.0,33.0
2023-11-30,-4.3,0.1,-1.7,10.5,0.0,4.0,13.0
2023-12-01,-1.4,0.3,-0.3,16.0,0.0,15.0,18.0
2023-12-02,-7.8,-1.4,-3.7,0.4,0.0,31.0,39.0
2023-12-03,-9.7,-3.9,-6.4,0.0,7.6,27.0,19.0
2023-12-04,-11.0,-4.3,-8.0,1.1,0.1,24.0,22.0
2023-12-05,-4.3,2.8,0.8,1.0,2.8,20.0,46.0
2023-12-06,-0.8,2.6,1.2,0.1,0.0,15.0,33.0
2023-12-07,-7.1,3.4,-2.1,0.0,7.1,13.0,14.0
2023-12-08,-5.4,2.8,-0.3,3.5,0.0,13.0,23.0
2023-12-09,1.5,4.8,2.7,5.4,0.0,9.0,35.0
2023-12-10,3.5,7.0,5.6,3.7,1.2,1.0,46.0
2023-12-11,5.3,9.3,7.1,0.0,0.2,0.0,41.0
2023-12-12,3.9,8.9,6.9,11.0,0.0,0.0,40.0
2023-12-13,2.6,7.4,5.6,5.6,0.1,0.0,24.0
2023-12-14,2.4,6.5,3.9,2.6,1.1,0.0,22.0
2023-12-15,1.3,4.8,2.8,0.0,0.2,0.0,19.0
2023-12-16,-2.1,6.4,2.2,0.0,4.5,0.0,14.0
2023-12-17,-3.6,6.1,0.4,0.0,7.4,0.0,18.0
2023-12-18,-2.8,5.3,0.2,0.0,7.5,0.0,21.0
2023-12-19,-2.0,6.1,1.8,2.2,6.0,0.0,28.0
2023-12-20,2.0,5.5,3.1,0.1,1.0,0.0,45.0
2023-12-21,2.2,8.0,5.0,10.7,0.0,0.0,86.0
2023-12-22,3.8,7.7,5.8,8.0,0.0,0.0,66.0
2023-12-23,4.9,6.9,5.8,2.6,0.0,0.0,72.0
2023-12-24,5.5,8.3,6.8,0.8,0.0,0.0,52.0
2023-12-25,4.2,10.3,7.6,0.0,3.4,0.0,38.0
2023-12-26,1.6,8.0,5.4,0.0,0.9,0.0,33.0
2023-09-06,8.1,24.7,16.4,0.0,12.3,0.0,28.0
2023-09-07,10.8,25.4,17.7,0.0,12.2,0.0,28.0
2023-09-08,9.6,26.7,18.0,0.0,12.1,0.0,20.0
2023-09-09,11.5,27.9,19.8,0.0,9.6,0.0,20.0
2023-09-10,12.8,28.9,20.6,0.0,10.6,0.0,24.0
2023-09-11,13.0,29.4,20.4,0.0,11.3,0.0,22.0
2023-09-12,11.6,29.0,20.0,0.1,8.9,0.0,36.0
2023-09-13,14.9,20.2,17.8,0.1,0.3,0.0,20.0
2023-09-14,12.0,21.0,16.6,0.0,3.9,0.0,21.0
2023-09-15,11.1,20.7,14.9,0.0,8.0,0.0,22.0
2023-09-16,10.2,25.8,17.5,0.0,11.3,0.0,19.0
2023-09-17,12.4,26.8,19.1,0.0,8.0,0.0,22.0
2023-09-18,12.8,20.2,15.8,5.3,0.7,0.0,35.0
2023-09-19,8.8,21.1,15.6,0.0,8.5,0.0,42.0
2023-09-20,7.0,23.0,15.0,0.0,11.7,0.0,23.0
2023-09-21,9.7,24.6,17.2,4.0,6.9,0.0,43.0
2023-09-22,9.7,13.8,12.0,2.2,1.9,0.0,30.0
2023-09-23,8.0,16.3,11.3,0.2,5.0,0.0,24.0
2023-09-24,4.4,16.4,10.6,0.0,10.7,0.0,26.0
2023-09-25,3.4,18.8,10.9,0.0,11.1,0.0,22.0
2023-09-26,4.6,21.4,12.2,0.0,11.2,0.0,17.0
2023-09-27,6.1,22.4,13.8,0.0,10.9,0.0,21.0
2023-09-28,7.1,24.2,15.3,0.0,9.2,0.0,18.0
2023-09-29,6.9,25.0,16.2,0.0,8.6,0.0,40.0
2023-09-30,6.7,18.6,13.2,0.0,3.2,0.0,18.0
2023-10-01,5.0,22.4,13.2,0.0,10.7,0.0,19.0
2023-10-02,7.1,23.9,14.7,0.0,10.6,0.0,22.0
2023-10-03,9.5,24.7,16.8,0.3,7.5,0.0,60.0
2023-10-04,4.1,17.0,10.5,0.0,9.1,0.0,27.0
2023-10-05,3.4,16.4,9.1,0.0,3.4,0.0,24.0
2023-10-06,2.1,18.8,10.2,0.0,9.3,0.0,18.0
2023-10-07,2.1,19.9,12.6,0.0,2.9,0.0,27.0
2023-10-08,9.7,22.4,15.4,0.0,2.0,0.0,23.0
2023-10-09,9.2,22.5,15.4,0.0,0.5,0.0,31.0
2023-10-10,7.4,22.4,14.6,0.0,8.7,0.0,21.0
2023-10-11,6.4,24.8,15.3,0.0,10.2,0.0,31.0
2023-10-12,10.0,23.0,16.8,0.0,4.3,0.0,32.0
2023-10-13,11.6,24.9,18.4,0.0,10.1,0.0,44.0
2023-10-14,5.3,18.8,13.3,4.2,2.5,0.0,46.0
2023-10-15,-1.7,10.7,5.4,0.3,3.7,0.0,43.0
2023-10-16,-3.0,9.5,3.0,0.0,9.7,0.0,30.0
2023-10-17,-1.7,6.9,2.5,0.0,0.2,0.0,17.0
2023-10-18,0.5,7.0,4.1,2.2,0.0,0.0,18.0
2023-10-19,6.7,14.1,10.1,1.6,0.1,0.0,19.0
2023-10-20,8.9,15.4,11.2,4.2,0.6,0.0,38.0
2023-10-21,8.8,13.4,10.6,8.6,0.4,0.0,26.0
2023-10-22,4.0,15.0,9.5,0.0,6.2,0.0,30.0
2023-10-23,1.6,12.0,7.6,0.1,1.7,0.0,27.0
2023-10-24,7.4,11.8,9.5,10.2,0.0,0.0,18.0
2023-10-25,5.3,13.5,9.4,3.6,0.6,0.0,39.0
2023-10-26,7.1,15.8,10.1,14.0,1.6,0.0,37.0
2023-10-27,7.4,12.1,9.2,0.6,2.2,0.0,49.0
2023-10-28,5.8,13.7,9.7,0.0,4.5,0.0,46.0
2023-10-29,2.7,15.8,9.5,0.0,2.5,0.0,26.0
2023-10-30,6.0,12.6,10.1,3.0,3.2,0.0,42.0
2023-10-31,7.0,10.5,8.8,2.9,0.7,0.0,30.0
2023-07-12,15.6,27.1,19.4,5.3,4.0,0.0,34.0
2023-07-13,12.1,23.9,18.0,0.0,6.3,0.0,24.0
2023-07-14,10.1,26.4,18.9,0.0,12.8,0.0,25.0
2023-07-15,13.3,33.7,23.7,9.8,12.7,0.0,37.0
2023-07-16,14.9,24.1,19.1,2.0,6.1,0.0,21.0
2023-07-17,14.0,26.0,19.7,0.0,7.9,0.0,28.0
2023-07-18,11.1,24.9,19.0,0.2,8.7,0.0,28.0
2023-07-19,14.9,27.9,21.7,0.0,12.7,0.0,39.0
2023-07-20,12.2,24.4,18.3,0.0,10.7,0.0,33.0
2023-07-21,9.4,23.6,16.1,0.7,6.3,0.0,44.0
2023-07-22,7.6,24.7,16.5,0.0,10.7,0.0,37.0
2023-07-23,9.1,26.7,18.9,0.3,6.8,0.0,41.0
2023-07-24,12.7,22.5,16.6,5.7,1.1,0.0,44.0
2023-07-25,11.0,21.3,14.7,9.6,4.5,0.0,64.0
2023-07-26,8.7,17.2,12.6,1.7,4.3,0.0,39.0
2023-07-27,7.9,20.7,14.6,0.4,0.9,0.0,34.0
2023-07-28,11.3,23.7,17.2,1.0,2.4,0.0,32.0
2023-07-29,12.8,25.0,18.2,2.7,4.6,0.0,53.0
2023-07-30,10.6,22.8,17.3,0.7,8.3,0.0,52.0
2023-07-31,9.0,23.8,16.9,1.5,5.8,0.0,34.0
2023-08-01,11.6,21.6,16.4,6.2,4.6,0.0,46.0
2023-08-02,10.8,26.0,16.9,9.3,2.2,0.0,73.0
2023-08-03,10.6,22.8,17.7,0.0,12.0,0.0,69.0
2023-08-04,9.1,21.4,15.2,11.5,3.6,0.0,30.0
2023-08-05,13.0,18.4,15.2,4.2,1.8,0.0,35.0
2023-08-06,9.5,14.6,12.4,5.2,3.2,0.0,57.0
2023-08-07,9.0,16.9,12.3,0.2,4.0,0.0,51.0
2023-08-08,8.6,21.0,14.9,1.4,7.9,0.0,41.0
2023-08-09,11.9,19.7,15.3,1.7,0.0,0.0,41.0
2023-08-10,9.9,23.8,16.6,0.0,11.4,0.0,24.0
2023-08-11,9.0,29.1,19.8,0.0,13.8,0.0,24.0
2023-08-12,12.9,29.1,20.8,0.1,6.3,0.0,43.0
2023-08-13,15.2,27.4,20.1,4.2,4.2,0.0,32.0
2023-08-14,16.2,29.3,22.2,0.0,9.6,0.0,23.0
2023-08-15,16.1,28.8,21.9,6.1,4.9,0.0,26.0
2023-08-16,14.1,29.6,21.7,0.1,11.9,0.0,26.0
2023-08-17,13.9,29.8,19.6,0.6,8.2,0.0,55.0
2023-08-18,11.8,29.2,20.6,0.0,12.9,0.0,19.0
2023-08-19,13.5,32.6,23.1,0.0,11.4,0.0,35.0
2023-08-20,17.2,33.1,25.3,0.0,11.1,0.0,21.0
2023-08-21,18.0,31.5,24.9,0.0,8.8,0.0,23.0
2023-08-22,17.4,31.5,24.7,0.0,12.5,0.0,34.0
2023-08-23,15.8,29.8,23.2,0.0,9.0,0.0,30.0
2023-08-24,14.2,32.1,22.1,15.9,7.9,0.0,60.0
2023-08-25,18.2,23.8,20.8,4.1,3.1,0.0,53.0
2023-08-26,15.0,22.0,17.8,18.9,1.4,0.0,21.0
2023-08-27,12.6,16.8,15.0,6.0,0.0,0.0,32.0
2023-08-28,11.0,14.4,12.5,14.2,0.0,0.0,38.0
2023-08-29,10.5,13.9,11.9,6.8,0.0,0.0,27.0
2023-08-30,10.6,18.1,13.4,0.7,2.5,0.0,25.0
2023-08-31,9.6,19.0,13.8,0.7,5.4,0.0,37.0
2023-09-01,12.5,22.8,16.5,1.3,5.1,0.0,29.0
2023-09-02,9.7,25.6,17.5,0.0,11.3,0.0,20.0
2023-09-03,11.3,23.9,17.2,0.0,8.4,0.0,18.0
2023-09-04,11.8,24.3,17.6,0.0,12.5,0.0,34.0
2023-09-05,10.7,24.3,17.1,0.0,12.3,0.0,30.0
2023-05-17,3.0,12.4,7.9,0.0,8.2,0.0,44.0
2023-05-18,2.4,13.9,9.1,0.0,8.3,0.0,42.0
2023-05-19,7.8,13.1,10.8,0.0,1.1,0.0,37.0
2023-05-20,11.0,20.5,14.7,0.0,5.3,0.0,37.0
2023-05-21,10.5,23.8,16.5,0.0,9.3,0.0,24.0
2023-05-22,9.6,25.1,17.5,0.1,9.0,0.0,33.0
2023-05-23,11.2,18.8,15.4,0.0,5.7,0.0,42.0
2023-05-24,7.5,12.5,10.1,0.0,1.0,0.0,27.0
2023-05-25,6.9,19.7,13.0,0.0,6.6,0.0,36.0
2023-05-26,7.9,21.5,15.3,0.0,11.2,0.0,30.0
2023-05-27,9.1,20.1,14.8,0.0,14.5,0.0,38.0
2023-05-28,7.4,21.0,14.9,0.0,14.8,0.0,32.0
2023-05-29,7.8,22.4,15.9,0.0,14.9,0.0,35.0
2023-05-30,9.3,21.9,15.8,0.0,11.6,0.0,35.0
2023-05-31,9.4,21.5,15.8,0.0,15.0,0.0,48.0
2023-06-01,9.8,24.7,17.4,0.0,12.8,0.0,28.0
2023-06-02,8.6,22.8,16.3,0.0,14.8,0.0,30.0
2023-06-03,9.2,22.1,15.4,0.0,14.4,0.0,32.0
2023-06-04,8.0,22.3,15.8,0.0,13.8,0.0,29.0
2023-06-05,9.6,23.7,16.8,0.0,12.9,0.0,45.0
2023-06-06,7.9,22.1,15.4,0.0,14.4,0.0,33.0
2023-06-07,6.1,23.3,15.7,0.0,12.6,0.0,22.0
2023-06-08,7.7,25.0,17.1,0.0,14.3,0.0,39.0
2023-06-09,8.6,24.2,17.6,0.0,14.2,0.0,33.0
2023-06-10,12.1,24.4,18.8,0.0,14.4,0.0,36.0
2023-06-11,13.0,24.3,18.5,0.0,14.9,0.0,41.0
2023-06-12,11.5,24.0,17.9,0.0,15.2,0.0,41.0
2023-06-13,9.0,22.3,15.6,0.0,15.2,0.0,43.0
2023-06-14,7.0,23.1,15.7,0.0,12.1,0.0,30.0
2023-06-15,8.3,22.8,16.3,0.0,11.6,0.0,32.0
2023-06-16,7.8,24.1,16.7,0.0,12.3,0.0,40.0
2023-06-17,7.7,26.2,17.5,0.0,10.5,0.0,34.0
2023-06-18,8.1,27.9,19.7,0.0,11.9,0.0,24.0
2023-06-19,15.7,28.9,21.6,0.9,7.3,0.0,30.0
2023-06-20,15.4,31.0,21.9,15.0,11.3,0.0,76.0
2023-06-21,14.5,25.2,19.5,9.0,7.3,0.0,67.0
2023-06-22,15.9,29.0,22.2,4.1,7.9,0.0,50.0
2023-06-23,12.6,22.2,17.1,0.0,5.0,0.0,48.0
2023-06-24,10.6,23.7,17.8,0.0,13.9,0.0,33.0
2023-06-25,10.2,26.1,19.0,0.0,15.3,0.0,28.0
2023-06-26,10.8,29.4,20.7,0.0,13.7,0.0,44.0
2023-06-27,11.7,21.5,16.9,0.0,5.8,0.0,30.0
2023-06-28,10.4,22.7,16.9,0.0,6.5,0.0,29.0
2023-06-29,8.2,26.5,18.4,0.2,9.2,0.0,23.0
2023-06-30,14.1,20.6,17.2,6.8,0.7,0.0,31.0
2023-07-01,13.8,22.2,17.4,1.6,5.2,0.0,34.0
2023-07-02,10.8,23.0,17.5,0.0,10.6,0.0,41.0
2023-07-03,10.9,22.3,17.3,0.8,4.9,0.0,42.0
2023-07-04,13.0,25.0,18.4,13.3,7.5,0.0,34.0
2023-07-05,9.5,22.0,16.4,0.0,10.7,0.0,45.0
2023-07-06,6.6,24.0,16.2,0.0,13.3,0.0,23.0
2023-07-07,7.9,28.2,19.1,0.0,15.1,0.0,28.0
2023-07-08,13.2,28.5,20.7,0.0,8.7,0.0,28.0
2023-07-09,12.5,32.4,23.5,0.1,13.5,0.0,20.0
2023-07-10,14.4,30.4,22.6,0.2,8.6,0.0,36.0
2023-07-11,14.1,32.4,23.3,35.7,12.0,0.0,83.0
2023-03-22,2.4,17.4,10.5,0.0,10.9,0.0,35.0
2023-03-23,7.7,16.2,12.3,0.2,0.2,0.0,47.0
2023-03-24,6.1,13.1,10.6,4.9,0.0,0.0,41.0
2023-03-25,4.4,11.2,6.7,1.0,4.4,0.0,72.0
2023-03-26,3.5,11.3,5.9,7.8,3.6,0.0,59.0
2023-03-27,-0.9,4.5,1.6,0.4,4.2,0.0,50.0
2023-03-28,-1.3,7.3,2.5,0.8,9.4,0.0,40.0
2023-03-29,2.1,12.3,8.1,2.1,0.3,0.0,30.0
2023-03-30,7.2,13.6,10.9,2.8,1.9,0.0,65.0
2023-03-31,6.3,14.9,8.7,5.3,4.8,0.0,86.0
2023-04-01,4.4,8.8,6.6,2.2,0.3,0.0,48.0
2023-04-02,1.6,10.3,5.6,0.3,0.2,0.0,32.0
2023-04-03,-2.0,4.6,1.9,0.0,0.6,0.0,47.0
2023-04-04,-3.8,4.6,-0.3,0.0,11.3,0.0,37.0
2023-04-05,-6.1,6.6,0.5,0.0,11.8,0.0,29.0
2023-04-06,-5.5,10.4,4.0,0.6,9.9,0.0,33.0
2023-04-07,2.9,9.7,5.6,5.6,1.0,0.0,32.0
2023-04-08,3.4,7.5,5.4,0.0,0.0,0.0,29.0
2023-04-09,2.3,11.0,5.8,0.0,4.5,0.0,30.0
2023-04-10,-1.5,14.3,8.0,1.7,9.6,0.0,32.0
2023-04-11,3.4,11.0,8.2,5.3,4.0,0.0,48.0
2023-04-12,5.1,12.7,7.6,4.7,0.7,0.0,44.0
2023-04-13,2.3,8.8,4.9,1.3,1.5,0.0,34.0
2023-04-14,0.3,12.2,6.0,0.0,8.8,0.0,32.0
2023-04-15,-1.0,11.1,5.0,7.8,3.3,0.0,41.0
2023-04-16,4.5,7.4,6.3,6.2,0.0,0.0,37.0
2023-04-17,5.7,12.0,7.5,2.5,2.7,0.0,37.0
2023-04-18,5.1,10.3,7.5,0.0,0.0,0.0,40.0
2023-04-19,2.4,9.5,6.4,3.0,0.0,0.0,32.0
2023-04-20,0.6,4.6,3.1,9.1,0.0,0.0,34.0
2023-04-21,3.1,15.3,8.6,0.0,6.4,0.0,29.0
2023-04-22,5.5,19.4,13.0,2.0,5.3,0.0,31.0
2023-04-23,8.8,17.7,12.3,1.8,5.2,0.0,41.0
2023-04-24,4.4,11.4,8.4,3.3,3.5,0.0,58.0
2023-04-25,4.1,8.5,5.9,4.5,3.2,0.0,32.0
2023-04-26,2.6,11.6,6.5,0.0,5.0,0.0,18.0
2023-04-27,0.0,14.9,8.4,1.0,4.9,0.0,19.0
2023-04-28,5.7,15.3,10.2,14.0,0.3,0.0,32.0
2023-04-29,7.8,15.8,11.4,0.0,9.2,0.0,38.0
2023-04-30,5.1,14.8,10.1,0.1,5.9,0.0,42.0
2023-05-01,6.4,14.4,9.4,6.6,0.6,0.0,37.0
2023-05-02,3.8,16.1,9.5,1.3,8.0,0.0,45.0
2023-05-03,4.0,15.9,9.5,0.0,8.8,0.0,30.0
2023-05-04,3.1,19.5,11.9,0.0,13.2,0.0,31.0
2023-05-05,6.2,20.5,13.6,11.7,5.6,0.0,44.0
2023-05-06,8.7,19.5,13.6,0.0,5.5,0.0,17.0
2023-05-07,7.8,19.8,13.8,14.5,7.5,0.0,49.0
2023-05-08,8.6,14.1,12.0,0.0,0.0,0.0,22.0
2023-05-09,7.5,18.6,13.3,11.5,7.6,0.0,28.0
2023-05-10,9.2,13.8,11.4,2.0,0.0,0.0,28.0
2023-05-11,8.2,11.2,9.4,3.2,0.0,0.0,26.0
2023-05-12,8.1,13.1,10.0,0.3,0.4,0.0,37.0
2023-05-13,8.2,11.4,9.5,0.0,0.0,0.0,28.0
2023-05-14,8.6,15.0,10.4,11.9,1.8,0.0,38.0
2023-05-15,6.5,16.5,10.6,0.7,5.8,0.0,29.0
2023-05-16,5.0,12.1,9.3,0.1,2.2,0.0,51.0
2023-01-25,-2.0,0.0,-1.1,0.0,0.0,1.0,28.0
2023-01-26,-3.2,-1.9,-2.3,0.0,0.0,1.0,20.0
